Station,State,ID,Lat,Lon,Elev
Little Rock AFB,AR,KLRF,34.92,-92.15,95
Pine Bluff,AR,KPBF,34.18,-91.93,63
Rogers,AR,KROG,36.37,-94.10,415
Stuttgart,AR,KSGT,34.6,-91.57,68
Siloam Spring,AR,KSLG,36.2,-94.48,300
Texarkana,AR,KTXK,33.45,-93.98,119
Bentonville,AR,KVBT,36.35,-94.22,395
Mountain Home,AR,KBPK,36.37,-92.47,280
Blytheville,AR,KHKA,35.94,-89.83,78
Monticello,AR,KLLQ,33.64,-91.76,83
Casa Grande,AZ,KCGZ,32.95,-111.77,446
Tucson Davis Monthan,AZ,KDMA,32.17,-110.88,824
Douglas Bisbee,AZ,KDUG,31.47,-109.60,1265
Phoenix Deer Valley,AZ,KDVT,33.68,-112.08,450
Safford,AZ,KSAD,32.82,-109.68,950
Mesa,AZ,KFFZ,33.47,-111.73,424
Sierra Vista,AZ,KFHU,31.6,-110.35,1438
Flagstaff,AZ,KFLG,35.13,-111.67,2137
Gila Bend,AZ,KGBN,32.88,-112.72,262
Grand Canyon,AZ,KGCN,35.95,-112.15,2014
Goodyear,AZ,KGYR,33.42,-112.38,295
Bullhead City,AZ,KIFP,35.1,-114.34,9999
Kingman,AZ,KIGM,35.27,-113.95,1033
Winslow,AZ,KINW,35.02,-110.73,1488
Williams AFB,AZ,KIWA,33.32,-111.65,422
Glendale Luke AFB,AZ,KLUF,33.53,-112.38,332
Nogales,AZ,KOLS,31.42,-110.85,1198
Yuma MCAS,AZ,KNYL,32.65,-114.62,65
Page,AZ,KPGA,36.93,-111.45,1304
Phoenix,AZ,KPHX,33.43,-112.02,337
Prescott,AZ,KPRC,34.65,-112.42,1537
Scottsdale,AZ,KSDL,33.62,-111.92,460
St. Johns,AZ,KSJN,34.52,-109.38,1747
Show Low,AZ,KSOW,34.27,-110.00,1954
Tucson,AZ,KTUS,32.12,-110.93,779
Valle,AZ,K40G,35.65,-112.15,1829
Yuma,AZ,KYUM,32.5,-114.40,231
Window Rock,AZ,KRQE,35.66,-109.06,2056
Avalon,CA,KAVX,33.4,-118.42,488
Newhall,CA,K3A6,34.37,-118.57,300
Ramona,CA,KRNM,33.04,-116.91,424
Point Piedras,CA,K87Q,35.67,-121.28,21
Arcata,CA,KACV,40.98,-124.10,66
Napa County,CA,KAPC,38.22,-122.28,10
Beale AFB,CA,KBAB,39.13,-121.43,34
Bakersfield,CA,KBFL,35.43,-119.05,150
Bishop,CA,KBIH,37.37,-118.37,1263
Blythe,CA,KBLH,33.62,-114.72,121
Blue Canyon,CA,KBLU,39.28,-120.72,1611
Burney,CA,KBNY,40.88,-121.67,957
Beaumont,CA,KBUO,33.93,-116.97,692
Burbank,CA,KBUR,34.2,-118.35,236
Concord,CA,KCCR,37.98,-122.05,7
Crescent City,CA,KCEC,41.78,-124.23,17
Chico,CA,KCIC,39.8,-121.85,73
Camarillo,CA,KCMA,34.22,-119.08,23
Chino,CA,KCNO,33.97,-117.63,198
Carlsbad,CA,KCRQ,33.13,-117.28,100
Campo,CA,KCZZ,32.62,-116.47,802
Daggett-Barstow,CA,KDAG,34.85,-116.78,587
Edwards AFB,CA,KEDW,34.9,-117.88,702
Needles,CA,KEED,34.77,-114.62,302
Eureka,CA,KEKA,40.8,-124.17,18
El Monte,CA,KEMT,34.08,-118.03,90
Fresno,CA,KFAT,36.77,-119.72,100
Fullerton,CA,KFUL,33.87,-117.98,29
Hawthorne,CA,KHHR,33.92,-118.33,19
Hanford,CA,KHJO,36.32,-119.63,74
Hayward,CA,KHWD,37.67,-122.12,14
Imperial,CA,KIPL,32.83,-115.58,17
Santa Ynez,CA,KIZA,34.6,-120.07,205
Los Angeles,CA,KLAX,33.93,-118.40,32
Los Angeles Downtown,CA,KCQT,34.05,-118.24,78
Long Beach,CA,KLGB,33.82,-118.15,12
Lompoc,CA,KLPC,34.67,-120.47,27
Livermore,CA,KLVK,37.7,-121.82,121
Merced,CA,KMCE,37.28,-120.52,47
Mather AFB,CA,KMHR,38.55,-121.30,29
Mount Shasta,CA,KMHS,41.32,-122.32,1080
Mojave,CA,KMHV,35.07,-118.15,849
Mammoth,CA,KMMH,37.62,-118.83,2173
Modesto City,CA,KMOD,37.63,-120.95,30
Monterey,CA,KMRY,36.58,-121.85,77
Mount Wilson,CA,KMWS,34.23,-118.07,1739
San Diego Montgomery,CA,KMYF,32.82,-117.13,129
Marysville,CA,KMYV,39.1,-121.57,19
Camp Pendleton,CA,KNFG,33.3,-117.35,24
China Lake,CA,KNID,35.68,-117.68,696
El Centro,CA,KNJK,32.82,-115.68,13
Miramar MCAS,CA,KNKX,32.85,-117.12,128
Lemoore NAS,CA,KNLC,36.33,-119.95,72
Imperial Beach,CA,KNRS,32.57,-117.12,7
San Nicolas Island,CA,KNSI,33.23,-119.45,154
Point Mugu,CA,KNTD,34.12,-119.12,2
Moffett NAS,CA,KNUQ,37.42,-122.05,12
Twentynine Palms,CA,KNXP,34.3,-116.17,626
North Island,CA,KNZY,32.7,-117.22,8
Shelter Cove,CA,KO87,40.02,-124.07,21
Oakland,CA,KOAK,37.73,-122.22,3
Ontario,CA,KONT,34.05,-117.60,287
Oroville,CA,KOVE,39.49,-121.62,59
Oxnard,CA,KOXR,34.2,-119.20,13
Inyokern,CA,KIYK,35.66,-117.83,748
Palo Alto,CA,KPAO,37.47,-122.12,2
Palmdale,CA,KPMD,34.63,-118.08,774
La Verne,CA,KPOC,34.1,-117.78,308
Paso Robles,CA,KPRB,35.67,-120.63,255
Palm Springs,CA,KPSP,33.83,-116.50,141
Porterville,CA,KPTV,36.03,-119.07,135
Riverside,CA,KRAL,33.95,-117.45,249
Red Bluff,CA,KRBL,40.15,-122.25,108
Redding,CA,KRDD,40.5,-122.30,153
San Jose Reid,CA,KRHV,37.33,-121.82,41
Riverside March,CA,KRIV,33.88,-117.27,469
Alturas,CA,KAAT,41.5,-120.53,1341
Sacramento,CA,KSAC,38.52,-121.50,8
San Diego,CA,KSAN,32.73,-117.17,9
Santa Barbara,CA,KSBA,34.43,-119.83,3
San Luis Obispo,CA,KSBP,35.23,-120.63,64
Stockton,CA,KSCK,37.9,-121.25,8
Sandberg,CA,KSDB,34.75,-118.73,1379
San Diego Brown,CA,KSDM,32.57,-116.98,160
San Diego Gille,CA,KSEE,32.83,-116.97,117
San Francisco,CA,KSFO,37.62,-122.38,5
Montague,CA,KSIY,41.78,-122.47,807
San Jose,CA,KSJC,37.37,-121.93,17
Los Alamitos,CA,KSLI,33.78,-118.05,11
Sacramento International,CA,KSMF,38.7,-121.58,7
Santa Monica,CA,KSMO,34.02,-118.45,53
Santa Maria,CA,KSMX,34.9,-120.45,73
Santa Ana,CA,KSNA,33.68,-117.87,16
Salinas,CA,KSNS,36.67,-121.60,26
San Carlos,CA,KSQL,37.52,-122.25,1
Santa Rosa,CA,KSTS,38.52,-122.82,38
Fairfield,CA,KSUU,38.27,-121.93,19
Susanville,CA,KSVE,40.38,-120.57,1263
Torrance,CA,KTOA,33.8,-118.33,31
Truckee-Tahoe,CA,KTRK,39.32,-120.13,1798
Thermal,CA,KTRM,33.63,-116.17,36
South Lake Tahoe,CA,KTVL,38.9,-120.00,1909
Ukiah,CA,KUKI,39.13,-123.20,187
Vacaville,CA,KVCB,38.38,-121.96,35
Vandenberg AFB,CA,KVBG,34.73,-120.58,112
Visalia,CA,KVIS,36.32,-119.40,89
Van Nuys,CA,KVNY,34.22,-118.48,244
Lancaster,CA,KWJF,34.73,-118.22,715
Vandenberg,CA,KXVW,34.72,-120.57,100
Oceanside,CA,KOKB,33.22,-117.35,8
Madera,CA,KMAE,36.99,-120.11,77
Watsonville,CA,KWVI,36.94,-121.79,43
Rifle,CO,KRIL,39.53,-107.80,1622
Air Force Academy,CO,KAFF,38.97,-104.82,2003
Akron,CO,KAKO,40.17,-103.22,1431
Alamosa,CO,KALS,37.45,-105.87,2299
Denver Centennial,CO,KAPA,39.57,-104.85,1793
Aspen,CO,KASE,39.22,-106.87,2382
Broomfield,CO,KBJC,39.92,-105.12,1724
Aurora,CO,KBKF,39.72,-104.75,1726
Burlington,CO,KITR,39.24,-102.29,1285
Craig,CO,KCAG,40.5,-107.52,2438
Cortez,CO,KCEZ,37.3,-108.63,1803
Colorado Springs,CO,KCOS,38.82,-104.72,1881
Denver,CO,KDEN,39.87,-104.67,1656
Durango,CO,KDRO,37.15,-107.75,2038
Eagle,CO,KEGE,39.65,-106.92,1993
Fort Carson,CO,KFCS,38.68,-104.77,1789
Fort Collins,CO,KFNL,40.45,-105.02,1529
Grand Junction,CO,KGJT,39.12,-108.53,1475
Gunnison,CO,KGUC,38.53,-106.93,2339
Greeley,CO,KGXY,40.43,-104.63,1420
